repo_id,num_stars,num_gfi
5378,2472,0
5585698,2474,0
4563,2474,0
1543447,2475,0
25793,2479,0
10349838,2485,0
19377,2489,0
22205189,2495,0
4780795,2499,0
5626,2500,0
4765,2502,0
9840,2502,0
7306035,2506,3
98127758,2511,0
22136279,2512,0
36172,2512,0
22920,2516,0
101209,2520,0
75275,2521,0
34190,2526,0
129456,2529,0
3138271,2532,0
7836,2533,0
1377549,2535,0
1691,2541,0
2261072,2543,9
12830,2544,0
43061,2552,85
77027,2560,0
3664437,2567,0
13448596,2573,0
3237506,2575,1
3095,2578,0
53537495,2578,0
608704,2578,0
226276,2579,0
5598479,2583,0
39360,2583,0
1401661,2585,0
7808399,2585,0
2156,2586,2
202860,2589,0
5446,2592,0
89813,2593,0
19106,2595,0
20315,2599,0
4045081,2619,0
719210,2626,0
3470,2630,0
3795273,2631,0
3805,2632,0
784448,2635,0
174722,2635,0
22964,2646,0
25334,2651,0
8924,2667,0
603146,2672,0
44428,2675,26
3996688,2680,0
20414,2685,0
1437288,2689,0
48099,2694,0
4885,2703,0
4251,2704,28
1597489,2705,0
11117,2708,73
937,2710,6
19466424,2722,0
62238,2725,0
25265021,2730,0
19860,2730,0
252,2731,0
35250605,2737,0
380,2744,0
5385,2745,0
20110,2747,0
882750,2750,0
8195,2750,42
6399876,2750,0
8645813,2754,4
39594,2762,0
5672,2762,0
13228,2769,0
268284,2774,0
14622,2779,0
7317,2779,0
1288351,2783,0
7562315,2784,0
56505,2784,0
17294597,2788,0
897,2800,0
20138487,2801,0
2822,2801,0
5465315,2803,4
21913581,2803,0
4252,2806,0
55347,2808,0
31402,2809,7
20707421,2812,0
39335,2814,0
2615807,2824,52
34957,2824,0
6800623,2830,0
17827,2837,0
1498950,2837,0
604767,2843,0
22358,2849,0
321869,2851,60
6139251,2852,0
3097452,2852,0
12665,2856,0
8721,2857,0
2185,2861,0
54129,2862,0
795823,2862,0
26557,2872,0
38823,2880,0
11432122,2881,0
4376,2882,15
6758559,2882,0
742622,2884,0
34709,2902,0
2224956,2903,0
5386300,2904,0
17647452,2904,15
2290,2906,0
8717081,2911,0
27564,2912,0
8347675,2915,0
14061,2919,0
15977326,2920,0
19724343,2923,0
8824,2924,0
39505,2925,0
18152,2929,0
11825419,2930,0
5457791,2932,0
11752910,2938,0
8516218,2948,0
1408479,2952,0
1459566,2955,5
13043,2956,0
13668,2963,0
854407,2965,0
29128136,2967,76
22089512,2967,0
7865651,2969,0
40863,2971,0
9820092,2972,0
901629,2973,0
25728535,2982,0
12459174,2985,0
731872,2985,0
8383891,2993,0
6442229,2996,0
59757,3002,0
27258,3004,0
1545591,3011,0
5759,3014,0
1397979,3038,0
7233,3040,0
19126917,3053,0
1367228,3057,0
20810,3065,0
12246131,3068,0
10975424,3077,0
60130,3078,0
185592,3084,0
12726,3088,0
20374325,3093,10
1423829,3097,0
11228557,3100,0
1357,3108,0
1349059,3113,0
9668961,3116,0
11061834,3118,0
15762,3121,0
3209,3122,0
1298,3131,0
546037,3131,0
6401040,3131,9
74972,3131,0
23830,3132,0
3168128,3135,0
13773,3139,0
16259368,3148,0
10886734,3148,0
877535,3153,3
1398,3159,0
1182,3165,8
16416,3169,0
6848,3171,0
90652,3171,0
1344422,3171,0
22094578,3174,1
7466,3175,0
42972,3179,0
31719,3180,0
22043392,3188,0
12958,3189,0
1385797,3194,0
56659,3195,4
24539051,3198,0
1358566,3217,0
26245476,3220,0
7307002,3222,0
2055,3226,0
1312712,3226,0
17223254,3228,0
505287,3231,0
3697,3233,5
359,3237,0
2705,3238,0
4929,3241,0
18659,3242,0
12031,3244,0
1344612,3245,42
25380,3247,0
3207718,3247,0
29643,3248,0
45658,3248,0
11084447,3248,0
1886174,3253,3
17270,3255,0
20375442,3256,4
3630462,3259,36
4238,3262,0
8335,3270,0
1350219,3271,0
3946,3275,0
27344,3276,0
14812688,3282,0
5841321,3285,0
19117,3286,0
417939,3293,104
68508,3299,5
3486,3300,0
2886,3301,0
24953914,3313,0
434,3313,0
42880,3316,0
9696062,3316,0
22602596,3317,0
390637,3324,1
5179902,3326,1
5031823,3332,0
33145,3335,0
12346148,3348,0
2256873,3348,0
2675,3354,0
867354,3355,0
20796,3358,0
1207,3365,0
