repo_id,num_issues
22042207,1482
32310,1482
675,1485
100924,1485
2981995,1488
11428873,1488
1654,1493
3329997,1494
16232,1495
6015719,1496
6193207,1505
2408633,1513
14441,1516
6276091,1517
5591439,1524
46368,1524
18043005,1530
26209,1530
25814105,1530
3521399,1530
15554578,1531
16609427,1531
2740299,1533
25681,1535
157290,1540
20161965,1542
4846,1545
9039695,1551
5140545,1558
21571,1563
9682,1577
20138487,1581
5507363,1590
7653971,1603
29146763,1603
6025265,1608
12813154,1610
13762,1611
4489243,1611
3168128,1612
30383770,1614
11371,1616
87033,1619
12718778,1622
15940963,1625
7826,1627
11511,1630
13626659,1631
9697927,1632
10088002,1634
6325605,1634
4102215,1634
65941,1637
22206580,1642
17384,1650
7528,1650
2876,1653
25601631,1655
15841,1659
10277858,1662
9164060,1663
1001578,1667
4376706,1668
22041940,1670
4376708,1671
2968,1677
26666,1677
20450796,1678
8117156,1680
74,1688
22059069,1690
13337190,1693
56050,1693
3354167,1700
977,1701
11794421,1706
11094978,1708
1711636,1708
9664377,1714
6399876,1724
3217567,1726
12579794,1733
45658,1734
739410,1734
537036,1740
4472440,1746
421434,1751
23721930,1753
22194311,1753
391903,1755
1528515,1759
4003655,1760
2717829,1761
15196846,1762
14279,1766
20851822,1768
120682,1772
3806812,1774
29355231,1777
14294826,1783
16795177,1785
16618,1786
8160874,1787
3818,1788
26901327,1792
20707421,1792
23834,1795
11634539,1802
17962275,1802
29148918,1806
12302,1806
22015744,1807
6736272,1811
5626,1812
17947217,1814
1350219,1816
17404142,1818
1972576,1821
10373,1822
13071,1825
1085,1826
38366,1828
4720390,1832
603146,1836
101854,1839
26260360,1839
5209,1849
4399108,1850
4794575,1853
24917798,1858
18795,1860
2909125,1861
5457791,1868
39075,1868
40964011,1871
11821,1877
22401266,1879
40943,1880
3644,1895
854407,1898
857502,1900
5636078,1900
7753732,1906
32023,1906
8249,1913
7608,1918
27092515,1922
1182,1925
14952,1928
4234,1931
22102472,1932
21311549,1933
12831,1937
3815119,1939
2727,1945
16792234,1946
8184,1958
7803,1966
38823,1968
3879861,1968
81335,1968
775774,1969
793139,1969
9570828,1970
16209,1977
87806,1978
33523,1981
4784541,1986
7691517,1992
13066443,1998
1377549,2005
3676758,2009
934,2011
3075805,2012
1155356,2018
8717081,2019
30928,2026
971750,2030
7294,2032
14979838,2033
36713,2034
5057272,2036
55,2050
19093,2052
7058,2053
7372037,2053
3656,2057
101209,2057
209466,2058
1356204,2063
20374,2064
19724343,2075
7098727,2075
10505,2085
