issue_id,num_mentioned
10966898,0
55187660,1
49238828,0
15184437,3
63885761,0
19482187,0
29543300,0
11605782,0
60479073,60
21394900,0
76764984,0
59855268,1
70589049,0
23020658,0
85653680,1
76295264,4
76295264,4
63419007,8
83750222,0
31771869,0
9317271,0
9756500,0
105245191,1
84864056,0
47423331,12
35323235,0
97756673,0
19650879,0
57634848,5
47720014,0
7707887,2
26132697,0
8605878,0
20687384,0
33031983,0
89370479,0
45273461,22
78657766,0
63423460,1
43304097,18
59952435,1
90925130,0
53403623,0
3085949,0
60214936,0
18469896,1
73231073,4
90964528,0
58643805,0
25116071,0
25755364,0
21786360,7
2476866,0
3094488,4
54416774,6
68641347,9
45059527,3
32117211,0
57324307,1
23802107,4
95436987,5
88790319,3
41262430,4
84101863,0
16564150,5
41310345,0
19552575,0
53308065,1
2969930,0
641762,0
20633625,0
39968195,1
41156049,6
8868627,0
11610282,0
4961672,0
94330788,2
10395708,0
78916535,0
44341152,0
23816658,3
45615,12
16697151,15
10258893,4
5908216,5
18969397,0
18062479,0
13727619,7
35369947,0
70713686,1
69483339,0
81554654,0
23492863,0
19223685,0
15776533,0
41819745,15
20028711,1
100155547,0
29925500,2
9345004,4
54316752,0
12878342,1
23579868,0
102295958,3
103261705,0
28852480,0
36828479,1
22802255,1
38417193,0
20984812,51
49361052,0
70971332,0
791619,0
102965252,3
37626396,2
39085102,0
12744902,0
57192796,0
9209287,0
52567951,0
36365306,3
71511503,3
54494527,0
68084961,36
40706173,2
23142494,2
18974460,8
37906050,9
108473961,3
54815594,4
713587,10
5651811,0
62495604,7
791611,3
19221296,0
60091865,6
641882,0
37300409,10
31553913,0
31278438,1
43283776,3
75489857,19
19051380,1
18625491,0
28137902,0
21925423,0
71190585,2
18689628,0
26708243,0
641821,0
90134367,1
84512187,5
641803,0
28682556,8
106349068,0
99323468,0
22824620,2
11425815,0
93967667,1
104712486,2
91273251,0
8964951,0
4995659,2
20814918,0
1911534,0
59747246,42
24192946,0
42142102,2
60541509,0
39948423,1
38641563,1
71363445,0
39291949,3
6605689,0
22918860,0
23452021,1
641753,0
38641629,0
37817850,5
23275711,2
34556149,0
62253406,0
89063993,1
13004842,14
20984812,51
3379620,0
105203993,11
29810403,0
