id,num_reference
70477917,22
100169359,2
641984,4
641775,4
19807910,6
14724311,5
18087893,10
19998145,7
87657028,25
32187658,11
48989427,8
60811069,3
61023727,30
14186170,5
21491244,21
76258346,42
42803912,9
1443657,128
103295233,15
74068148,6
2822413,1
32958361,6
43566992,85
49973726,7
48275724,15
28139136,4
97195146,9
15194708,6
71551582,26
48881382,5
641816,3
72803920,7
72838677,18
52833120,3
45355600,64
12456086,4
13707857,18
43688889,14
3243656,1
15513105,15
11621585,34
11266267,4
8665957,16
35133808,6
55747724,25
7742616,20
3167145,2
1075880,6
62616975,5
25081088,13
16039580,9
27205264,4
11427706,6
49798223,12
20012222,9
62719249,5
15460142,13
9448604,2
11759887,12
38795286,12
9314974,4
5300242,1
16342307,2
49071652,6
25135424,7
5565882,11
37222594,20
5562073,9
1001744,7
39767306,15
100993377,9
34245179,5
64509932,9
38548950,9
869143,5
66250818,14
61808096,7
21033538,19
45445510,4
34907906,7
34722769,28
67572829,20
20436539,2
7434072,21
76541516,17
50737913,6
29505587,37
18668591,2
9265002,6
39380996,8
97226711,15
76080244,8
867645,1
8287452,6
30088951,6
16074844,14
108384488,7
78682739,4
21524339,8
50465703,17
45121494,9
713253,3
75500483,22
70311578,4
52512671,2
25433084,2
67788089,44
60893350,7
73776277,8
64707921,27
26879079,11
1766019,1
30275722,9
65434997,4
26312747,9
48893130,14
33863350,41
79267355,5
60794062,9
54558122,8
8016648,1
28414042,9
32663311,5
38325062,6
63543726,10
47385274,18
28836494,15
47990292,5
28473680,15
41006127,2
73823363,27
48020828,12
70180749,11
21239392,90
62063974,14
34429275,3
86321266,12
57116811,20
63520308,4
23324610,8
17478173,5
31573787,9
26296932,22
24694727,9
39241514,5
13753945,5
83916815,3
77625697,9
72857942,6
47283955,7
1001800,4
63738943,30
101156841,10
82982221,30
20579800,6
53806334,22
98784172,11
85575422,20
18519181,5
713587,38
1314181,9
15184556,38
57473060,13
22587398,16
87367428,7
26260541,10
53082173,8
63910913,9
44354636,6
18376,38
3115644,1
1376224,19
3203130,6
38583310,3
2655337,1
62074922,6
22899884,6
38505785,13
18553212,4
12794007,33
19303254,13
2266202,12
25817634,9
51304771,11
92319607,33
62534410,9
37387471,6
2173462,10
102749764,21
44073817,5
36522635,28
23322603,7
10851151,23
65945998,2
12646795,39
45266955,9
38997741,5
59543178,7
6644489,7
44447341,7
14383321,18
42662391,8
21520397,19
27534854,8
89295354,8
9875930,1
53434538,26
26080183,31
66217830,4
15505290,10
53255907,24
55217902,7
15108810,17
57212643,24
85819341,7
94802932,13
51695098,3
52940138,4
28819514,34
46008905,10
68767203,5
