id,num_devs,num_comments
24924786,1,1
3440852,17,33
18146750,10,21
98921847,3,5
53000104,8,17
82392407,3,3
25155405,4,7
43472806,5,9
77402917,4,5
14500047,5,11
38619344,9,120
55145319,8,19
16412276,5,24
64274287,1,1
15060947,5,12
72022805,3,5
34509867,2,3
30810363,3,15
97756383,2,2
40839655,24,368
77751786,6,11
3263625,4,18
9536753,4,6
12161821,5,20
55485044,3,13
21574397,18,61
66355,6,19
86772856,3,3
20953062,2,3
7060677,5,5
41033583,6,30
51840691,7,10
12226451,2,4
3553483,2,7
89520342,2,4
82194486,4,14
92672147,7,38
72190664,3,6
51506462,4,16
52042831,3,7
33933404,3,11
87351122,2,4
24103955,6,15
34056447,2,2
67636648,5,9
15126316,2,2
77801656,1,2
27611523,3,6
86545810,4,32
8504476,6,13
67889244,3,4
37382675,9,12
7916004,4,10
8268209,2,3
87406192,6,9
24188450,3,3
24219084,3,3
641688,2,6
33984394,7,18
23369691,4,27
20211456,6,12
27183562,4,20
77286519,2,6
28208438,5,11
28325326,5,8
34512259,1,2
48426935,6,8
60731298,2,3
33059407,8,15
32425024,6,12
51963890,4,12
24778949,5,10
24834368,8,11
31386084,15,31
47100,2,6
185292,5,11
37922086,4,7
82722434,10,14
23873114,2,8
38621667,19,70
8382884,1,2
34350345,3,6
92319494,1,1
11325350,2,2
50626772,2,6
72609396,1,6
40849981,12,15
72172451,2,5
48435309,6,10
49012459,1,1
45633708,7,12
25148373,5,15
59998799,3,5
97786467,2,12
37215801,4,11
87070224,5,18
57349915,3,6
9233490,4,12
87097256,3,10
26183073,5,9
51351110,4,5
86666889,2,4
641775,3,4
41173840,2,11
72848034,8,15
27180694,3,8
67472175,2,7
17601463,5,6
24186802,3,4
40405668,3,5
12254118,6,7
18493221,2,4
33085695,3,7
92193222,5,7
37718095,8,26
37992873,2,2
18811230,2,2
38556499,3,5
9133189,3,5
25526125,4,5
28636364,7,13
25555789,2,3
31492103,9,26
64572456,2,4
83677677,3,7
43566992,13,43
61360008,22,36
31491794,6,10
35192243,3,3
19826273,3,34
89919678,5,6
791962,5,27
50872326,8,11
89063993,3,3
43283776,7,15
31695159,7,26
21999675,3,6
9209287,3,4
70446624,2,5
5565882,12,40
1543478,3,3
21439414,2,2
45615,7,26
75123004,5,7
33181127,10,17
26597513,1,1
38555220,2,3
5764395,2,2
60847485,2,3
93700583,5,13
15194667,5,22
31233860,3,3
28566224,3,18
12107036,4,7
34445937,1,1
45630521,2,2
14489720,4,12
23056805,18,22
6039978,2,2
64003096,7,20
100993377,1,1
38417193,2,6
65999348,3,8
33705369,5,7
29225641,5,7
64180320,10,28
7898245,2,3
5658943,3,5
2872206,6,12
58834855,3,8
73773897,3,10
16378425,5,16
53584923,5,10
25976820,26,34
19213247,3,11
94641634,2,10
94965871,1,1
52524723,5,8
59528939,5,18
31350401,1,3
60904868,5,6
42162771,2,5
1748408,2,3
78672895,3,5
34199736,20,34
56732797,6,44
19288031,4,16
11759887,5,9
61007856,2,16
16311392,2,2
60280548,1,1
101156841,5,8
26260708,7,8
26570454,7,18
93144814,6,17
2302951,9,32
5372808,5,9
65322816,6,7
5015584,8,30
88368721,4,4
55127379,3,4
37973405,5,44
54297269,9,14
93851549,4,36
27111427,3,10
42142102,8,24
19292222,7,15
83481338,7,9
9164689,5,14
38266045,3,4
37542830,4,8
20141160,4,14
1563863,40,166
25519755,3,14
9322227,1,3
9531511,10,16
84079944,4,8
61023727,5,12
42228993,7,20
42021403,2,2
9653283,4,5
99638169,6,11
49107672,4,13
69679216,3,3
12805902,2,4
35382015,3,4
69149741,5,20
34805964,4,8
28373834,3,5
61910179,2,4
14227686,3,6
56107656,3,5
9356956,9,18
45566954,3,5
41299303,1,2
25153078,4,10
48844803,5,8
18815158,4,15
21786360,7,16
38530017,4,5
92861247,2,3
76317197,1,3
33144756,5,8
56613232,2,3
5770296,2,2
78519185,4,11
49086508,4,7
25466813,5,8
9071382,3,3
40193553,4,4
38777152,2,3
24792551,1,2
37796069,5,16
24917777,8,10
34615419,5,21
58296289,3,6
62335336,2,2
33008431,3,8
2780950,4,9
54491113,8,21
34303738,6,6
50848242,4,6
23260214,2,2
8719856,4,8
5779014,1,2
65985081,5,9
28414921,9,23
78596820,4,24
45501021,3,3
12038155,2,3
24193625,5,11
1808541,3,4
25832171,4,7
89946530,5,5
38591153,7,22
49562527,8,11
61231548,3,8
18871152,2,2
4948803,4,11
45066096,11,17
22587860,2,2
18700465,5,8
83726864,4,10
42666645,3,9
12380218,4,5
25688259,4,5
32263194,6,9
54308223,5,18
45639794,3,3
65365283,1,1
22387837,5,16
35871994,4,14
2266202,3,6
2442457,6,10
28020752,11,14
53888540,1,2
9901413,4,5
67235019,1,3
60206785,2,3
50887185,3,4
94104985,2,3
106356423,2,2
79320147,5,7
19373674,3,5
62325114,7,19
25135424,2,7
45428046,1,1
46330250,5,14
43406656,6,13
14270743,3,11
3058169,3,4
60141470,10,32
95022629,3,4
33072128,6,6
39839260,12,58
19293459,5,13
32867339,3,9
3553513,3,4
105800388,2,3
17094081,3,7
26555966,3,4
20881377,4,12
20831396,4,4
49847197,4,4
84101091,2,2
1462906,9,26
26489170,2,2
26369286,3,5
791369,4,7
85861744,5,8
54431939,4,5
21053109,2,2
64151080,2,4
1605272,4,6
102006836,6,14
85418483,3,24
10363938,8,12
95978386,2,2
3098214,4,5
43795719,4,15
44573103,4,6
102749764,4,5
49510336,3,15
16382558,7,22
23336030,1,3
85542241,3,6
85500500,6,13
16601870,3,14
95639600,2,5
55338230,5,28
46548651,1,1
43269323,3,4
14152608,6,12
66217830,3,6
43427474,3,7
43542508,10,28
30262581,3,6
46843510,6,9
10743566,4,11
84899923,6,11
39786799,1,2
23492863,5,9
49998825,7,11
28137902,2,5
33053904,5,6
51082415,2,5
36212328,5,6
62063974,5,11
26921351,7,15
34342710,8,9
17032898,5,18
29714071,2,4
