id,gh_id,label,repo_id
43183077,13072,starter bug,392
8611325,7516,starter bug,392
1932524,3131,starter bug,392
5175474,5237,starter bug,392
38734390,12859,starter bug,392
63080529,13987,starter bug,392
249667,1755,starter bug,392
251931,902,starter bug,392
251863,926,starter bug,392
58585305,13774,starter bug,392
251675,977,starter bug,392
12932895,9934,starter bug,392
253333,391,starter bug,392
19994001,11416,starter bug,392
9663690,8142,starter bug,392
2521270,4182,starter bug,392
3220228,4575,starter bug,392
45027752,13140,starter bug,392
7734156,7017,starter bug,392
32627366,12486,starter bug,392
2173462,3712,starter bug,392
253339,389,starter bug,392
2114267,3662,starter bug,392
5300242,5368,starter bug,392
3536099,4950,starter bug,392
3399819,4768,starter bug,392
15437679,10632,starter bug,392
1068854,2281,starter bug,392
9746117,8208,starter bug,392
250132,1410,starter bug,392
9581297,8111,starter bug,392
3537897,4954,starter bug,392
6239945,6206,starter bug,392
7734622,7019,starter bug,392
249635,1793,starter bug,392
2483456,3985,starter bug,392
250797,1099,starter bug,392
22575790,11801,starter bug,392
74880394,817,good first issue,431
72789401,8516,good first issue,581
72691643,8503,good first issue,581
77024844,9257,good first issue,581
68939762,7587,good first issue,581
78995830,9604,good first issue,581
69805112,7785,good first issue,581
66874524,7040,good first issue,581
61965781,6153,up-for-grabs,581
69680731,7750,good first issue,581
68664844,7517,good first issue,581
71150386,8142,good first issue,581
63879144,6405,good first issue,581
64884429,6579,good first issue,581
91837804,11959,good first issue,581
67597549,7251,good first issue,581
69568257,7717,good first issue,581
64277535,6477,good first issue,581
80665965,1349,good first issue,608
97755780,30160,good first issue,634
97755663,30158,good first issue,634
97757315,30195,good first issue,634
97756265,30168,good first issue,634
98737890,30285,good first issue,634
97755218,30152,good first issue,634
97757065,30187,good first issue,634
99295296,30341,good first issue,634
15791,5946,good first issue,634
97755456,30156,good first issue,634
97756771,30181,good first issue,634
75326997,27457,good first issue,634
97756559,30177,good first issue,634
97755832,30161,good first issue,634
97757197,30191,good first issue,634
97756791,30182,good first issue,634
97756382,30172,good first issue,634
97756467,30175,good first issue,634
97757427,30196,good first issue,634
97755722,30159,good first issue,634
102295958,30670,good first issue,634
97757098,30188,good first issue,634
97756462,30174,good first issue,634
97757242,30192,good first issue,634
97757276,30193,good first issue,634
97753695,30148,good first issue,634
68744553,26476,good first issue,634
97755897,30163,good first issue,634
97759976,30149,good first issue,634
97756673,30179,good first issue,634
97756136,30166,good first issue,634
67723827,26313,good first issue,634
93743116,29710,good first issue,634
97757087,30186,good first issue,634
85307866,28667,good first issue,634
97755363,30154,good first issue,634
97755308,30153,good first issue,634
97756419,30173,good first issue,634
97756051,30164,good first issue,634
97757285,30194,good first issue,634
97755202,30151,good first issue,634
97756233,30170,good first issue,634
97756525,30176,good first issue,634
97756232,30169,good first issue,634
97756146,30167,good first issue,634
97756954,30184,good first issue,634
97755344,30155,good first issue,634
97756644,30178,good first issue,634
97757007,30185,good first issue,634
97756383,30171,good first issue,634
97757206,30190,good first issue,634
97756698,30180,good first issue,634
97756061,30165,good first issue,634
97757134,30189,good first issue,634
97757409,30197,good first issue,634
71357588,26898,good first issue,634
97893036,30162,good first issue,634
97756878,30183,good first issue,634
106984589,31393,good first issue,634
96039382,29966,good first issue,634
41546686,7756,easy,853
38699221,7500,easy,853
49608778,8405,easy,853
91993356,11084,easy,853
36637046,7330,easy,853
33236634,6984,easy,853
38083746,7448,easy,853
33047135,6964,easy,853
51792543,8617,easy,853
99078025,11440,easy,853
