id,date_created,date_resolved,days_resolution
50248266,2017-05-31 03:28:13 UTC,2017-05-31 11:41:59 UTC,0
58941319,2017-10-21 12:20:22 UTC,2018-01-02 22:40:56 UTC,73
29747415,2016-04-05 10:51:13 UTC,2017-01-20 15:14:00 UTC,290
44652799,2017-02-23 21:13:54 UTC,2018-02-19 17:54:58 UTC,360
54683397,2017-08-15 18:21:19 UTC,2017-10-11 20:06:45 UTC,57
641856,2012-05-11 16:21:01 UTC,2012-05-31 01:57:20 UTC,19
50125031,2017-05-29 06:06:57 UTC,2018-08-07 11:04:37 UTC,435
11443187,2014-09-06 11:53:27 UTC,2014-09-10 21:07:53 UTC,4
91169008,2018-11-29 20:27:07 UTC,2018-11-29 21:57:14 UTC,0
11031944,2014-08-18 23:51:32 UTC,2014-09-04 11:55:12 UTC,16
69650795,2018-03-21 14:27:14 UTC,2018-03-30 20:15:10 UTC,9
80966310,2018-08-10 13:12:11 UTC,2018-08-10 17:01:44 UTC,0
16378425,2014-09-08 10:09:52 UTC,2015-03-20 20:06:51 UTC,193
16378425,2014-09-08 10:09:52 UTC,2015-03-20 20:06:51 UTC,193
31638920,2016-05-09 14:04:51 UTC,2016-06-02 00:17:51 UTC,23
51868603,2017-06-28 00:28:24 UTC,2017-07-27 22:01:54 UTC,29
76877363,2018-06-20 10:21:38 UTC,2018-06-26 00:58:24 UTC,5
87854321,2018-10-26 18:26:41 UTC,2018-11-08 17:19:43 UTC,12
27641064,2016-02-19 23:49:28 UTC,2016-02-27 01:17:23 UTC,7
50658019,2017-06-06 23:54:13 UTC,2017-11-07 20:27:47 UTC,153
12009646,2014-10-06 07:02:44 UTC,2017-04-27 03:21:44 UTC,933
12009646,2014-10-06 07:02:44 UTC,2017-04-27 03:21:44 UTC,933
2006549,2013-04-01 12:30:10 UTC,2013-12-30 18:12:21 UTC,273
31412200,2016-05-05 13:18:49 UTC,2016-05-28 14:10:03 UTC,23
